,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,RFC_pred_proba,raw_RFC_pred_proba,single,filter,score_time
10751,reinvent,RFC,85,0,55.26391792297363,Cc1cc(Cl)cc(Cl)c1OCCC1CCN(CC2CCOCC2)CC1,true,1,true,0,0.2937184071290166,0.2937184071290166,0.2937184071290166,1.0,0.13204240798950195
10752,reinvent,RFC,85,1,55.26391792297363,COc1ccccc1N1CCN(CCCC(=O)NC2CCN(Cc3ccccc3)CC2)CC1,true,1,true,0,0.5617874713352903,0.5617874713352903,0.5617874713352903,1.0,0.13204240798950195
10753,reinvent,RFC,85,2,55.26391792297363,COc1ccccc1N1CCN(CCCNC2CCCNC2)CC1,true,1,true,0,0.5931004414143264,0.5931004414143264,0.5931004414143264,1.0,0.13204240798950195
10754,reinvent,RFC,85,3,55.26391792297363,C(F)(CCn1csc(C(NCC2OCCC2)=O)c1=O)(F)F,false,0,true,0,0.0,1e-06,1e-06,1.0,0.13204240798950195
10755,reinvent,RFC,85,4,55.26391792297363,COc1ccccc1N1CCN(CCCCN2CCC(F)CC2)CC1,true,1,true,0,0.6879277879527739,0.6879277879527739,0.6879277879527739,1.0,0.13204240798950195
10756,reinvent,RFC,85,5,55.26391792297363,COc1cccc2c1CCCC2N1CCCN(Cc2ccc3c(N)nc(N)nc3c2)CC1,true,1,true,0,0.40219460831844905,0.40219460831844905,0.40219460831844905,1.0,0.13204240798950195
10757,reinvent,RFC,85,6,55.26391792297363,CCOc1ccccc1CC1CCN(CCNCc2ccccc2Cl)CC1,true,1,true,0,0.327794722822595,0.327794722822595,0.327794722822595,1.0,0.13204240798950195
10758,reinvent,RFC,85,7,55.26391792297363,COc1ccccc1N1CCN(CCNCC2COc3cccc(O)c3C2=O)CC1,true,1,true,0,0.5169766789955398,0.5169766789955398,0.5169766789955398,1.0,0.13204240798950195
10759,reinvent,RFC,85,8,55.26391792297363,CCOc1cc2c(CCCC(=O)NCCOC)c[nH]c2cc1OC,true,1,true,0,0.32999849252055136,0.32999849252055136,0.32999849252055136,1.0,0.13204240798950195
10760,reinvent,RFC,85,9,55.26391792297363,Cc1cc(O)cc(C)c1CC(N)C(=O)N1CCCC1CCN1CCN(c2nsc3ccccc23)CC1,true,1,true,0,0.9069845335205855,0.9069845335205855,0.9069845335205855,1.0,0.13204240798950195
10761,reinvent,RFC,85,10,55.26391792297363,CNCC1CCN(c2cc(=O)n3cc(Cl)cc(F)c3n2)CC1,true,1,true,0,0.21416486113457855,0.21416486113457855,0.21416486113457855,1.0,0.13204240798950195
10762,reinvent,RFC,85,11,55.26391792297363,CNCCc1c[nH]c2cc(OC3CCC(NC4CCN(S(=O)(=O)C5CC5)CC4)CC3)ccc12,true,1,true,0,0.3131017561520041,0.3131017561520041,0.3131017561520041,1.0,0.13204240798950195
10763,reinvent,RFC,85,12,55.26391792297363,CCOc1ccc(OCCN2CCC(NC3=Nc4ccccc4S(=O)(=O)N3)CC2)cc1,true,1,true,0,0.5153251969995476,0.5153251969995476,0.5153251969995476,1.0,0.13204240798950195
10764,reinvent,RFC,85,13,55.26391792297363,Cc1cc(COc2cccc(C(=O)N3CCC(N4C=NCC(O)C4O)CC3)c2)c2ccccc2n1,true,1,true,0,0.26067617564753787,0.26067617564753787,0.26067617564753787,1.0,0.13204240798950195
10765,reinvent,RFC,85,14,55.26391792297363,O=C1Cc2ccccc2C(=O)N1CCN1CCN(c2nsc3cccc(F)c23)CC1,true,1,true,0,0.5876528724070286,0.5876528724070286,0.5876528724070286,1.0,0.13204240798950195
10766,reinvent,RFC,85,15,55.26391792297363,CCCN1CCC2(CCc3c2c(=O)n(NCCCc2ccc(Cl)cc2)c2ccccc32)CC1,true,1,true,0,0.40177504919861906,0.40177504919861906,0.40177504919861906,1.0,0.13204240798950195
10767,reinvent,RFC,85,16,55.26391792297363,C1CC(C(N2CCN(c3nsc4ccccc(c43)CC2)=O)CCN1C1CCCCC1,false,0,true,0,0.0,1e-06,1e-06,1.0,0.13204240798950195
10768,reinvent,RFC,85,17,55.26391792297363,COc1cccc(N2CCC(CCN3CCN(c4ccccc4OC)CC3)CC2)c1,true,1,true,0,0.4501852692124069,0.4501852692124069,0.4501852692124069,1.0,0.13204240798950195
