,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,RFC_pred_proba,raw_RFC_pred_proba,single,filter,score_time
54947,reinvent,RFC,432,0,274.38635873794556,Brc1ccc2nc(OCCN3CCN(c4nsc5ccccc45)CC3)ccc2c1,true,1,true,0,0.807836465781568,0.807836465781568,0.807836465781568,1.0,0.09695053100585938
54948,reinvent,RFC,432,1,274.38635873794556,CC=C1CC(CN2CCN(c3nsc4ccccc34)CC2)N=C1C,true,1,true,0,0.8085525428867115,0.8085525428867115,0.8085525428867115,1.0,0.09695053100585938
54949,reinvent,RFC,432,2,274.38635873794556,O=C(O)C(CCCN1CCN(c2nsc3ccccc23)CC1)c1ccccc1,true,1,true,0,0.8315654247151156,0.8315654247151156,0.8315654247151156,1.0,0.09695053100585938
54950,reinvent,RFC,432,3,274.38635873794556,COc1cc(OC)c(C(=O)N2CCN(c3nsc4ccccc34)CC2)cc1CNC(C)=O,true,1,true,0,0.7565399856837242,0.7565399856837242,0.7565399856837242,1.0,0.09695053100585938
54951,reinvent,RFC,432,4,274.38635873794556,O=C(NCCCN1CCN(c2nsc3ccccc23)CC1)C1CCC(CCN2CCCN(c3nsc4ccccc34)CC2)CC1,true,1,true,0,0.9096648122007609,0.9096648122007609,0.9096648122007609,1.0,0.09695053100585938
54952,reinvent,RFC,432,5,274.38635873794556,O=C(NCCN1CCN(c2nsc3ccccc23)CC1)c1nsc2ccccc12,true,1,false,3,0.942268392245464,0.942268392245464,0.942268392245464,1.0,0.09695053100585938
54953,reinvent,RFC,432,6,274.38635873794556,O=C(NCCN1CCN(c2nsc3ccccc23)CC1)c1cn[nH]c1C1CC1,true,1,true,0,0.9304602667910535,0.9304602667910535,0.9304602667910535,1.0,0.09695053100585938
54954,reinvent,RFC,432,7,274.38635873794556,Cc1c(Cl)cc(Cl)c(C(=O)NCCN2CCN(c3nsc4ccccc34)CC2)c1Cl,true,1,true,0,0.8992519179789896,0.8992519179789896,0.8992519179789896,1.0,0.09695053100585938
54955,reinvent,RFC,432,8,274.38635873794556,O=C(NCCN1CCN(c2nsc3ccccc23)CC1)c1csc2ccccc12,true,1,false,7,0.916986824276396,0.916986824276396,0.916986824276396,1.0,0.09695053100585938
54956,reinvent,RFC,432,9,274.38635873794556,O=C(NCCN1CCN(c2nsc3ccccc23)CC1)c1ccc(N2CCN(c3nsc4ccccc34)CC2)s1,true,1,true,0,0.891456954336967,0.891456954336967,0.891456954336967,1.0,0.09695053100585938
54957,reinvent,RFC,432,10,274.38635873794556,COc1ccccc1C(=S)NC1CCC(CCN2CCN(c3nsc4ccccc34)CC2)CC1,true,1,true,0,0.9088528212666063,0.9088528212666063,0.9088528212666063,1.0,0.09695053100585938
54958,reinvent,RFC,432,11,274.38635873794556,CCC1CC1CCCN1CCN(c2nsc3ccccc23)CC1,true,1,false,1,0.9399685988829958,0.9399685988829958,0.9399685988829958,1.0,0.09695053100585938
54959,reinvent,RFC,432,12,274.38635873794556,Fc1ccc(C(CCN2CCN(c3nsc4ccccc34)CC2)C(C2CC2)C2CC2)c(F)c1,true,1,true,0,0.8712230557001269,0.8712230557001269,0.8712230557001269,1.0,0.09695053100585938
54960,reinvent,RFC,432,13,274.38635873794556,CCCCCCCCCCN1CCN(c2nsc3ccccc23)CC1,true,1,false,3,0.9429685988829958,0.9429685988829958,0.9429685988829958,1.0,0.09695053100585938
54961,reinvent,RFC,432,14,274.38635873794556,CC1(C)CC(=O)N(C(=O)CNCCN2CCN(c3nsc4ccccc34)CC2)C1CCCCN1CNC(=O)C1,true,1,true,0,0.8902352988139398,0.8902352988139398,0.8902352988139398,1.0,0.09695053100585938
54962,reinvent,RFC,432,15,274.38635873794556,Cc1cnc(CCCCN2CCN(c3nsc4ccccc34)CC2)s1,true,1,true,0,0.9249103460022277,0.9249103460022277,0.9249103460022277,1.0,0.09695053100585938
54963,reinvent,RFC,432,16,274.38635873794556,c1ccc2c(CCCCN3CCN(c4nsc5ccccc45)CC3)c[nH]c2c1,true,1,false,29,0.9238928519175429,0.9238928519175429,0.9238928519175429,1.0,0.09695053100585938
54964,reinvent,RFC,432,17,274.38635873794556,CC1CC=CCN(CCCC2CCC(CCN3CCN(c4nsc5ccccc45)CC3)C2)C1,true,1,true,0,0.927695786542107,0.927695786542107,0.927695786542107,1.0,0.09695053100585938
