,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,RFC_pred_proba,raw_RFC_pred_proba,single,filter,score_time
6528,reinvent,RFC,52,0,33.72621250152588,CCOC(=O)C(Cc1ccccc1)NCC1CCCO1,true,1,true,0,0.20072260599960967,0.20072260599960967,0.20072260599960967,1.0,0.13450908660888672
6529,reinvent,RFC,52,1,33.72621250152588,CC(C)C12CC(OC(=O)c3cccc4nonc34)CC1CCCCC2N,true,1,true,0,0.3923044676537385,0.3923044676537385,0.3923044676537385,1.0,0.13450908660888672
6530,reinvent,RFC,52,2,33.72621250152588,O=c1c(CN2CCC(CCN3CCC(n4c(=O)[nH]c5ccccc54)CC3)CC2)coc2ccccc12,true,1,true,0,0.6521949069595322,0.6521949069595322,0.6521949069595322,1.0,0.13450908660888672
6531,reinvent,RFC,52,3,33.72621250152588,CSCCNC(=O)CCc1c(C)n(Cc2ccccc2)c2c1c(=O)n(C)c(=O)n2C,true,1,true,0,0.25012380145125684,0.25012380145125684,0.25012380145125684,1.0,0.13450908660888672
6532,reinvent,RFC,52,4,33.72621250152588,Cc1c(N2CCN(C(=O)C3CCC3)CC2)c(Cl)cc(Cl)c1S(=O)(=O)NCC1CCCO1,true,1,true,0,0.3891382330263596,0.3891382330263596,0.3891382330263596,1.0,0.13450908660888672
6533,reinvent,RFC,52,5,33.72621250152588,SC1=NC2CCCCC2N1CCCCN1CCN(c2cccc3ccccc23)CC1,true,1,true,0,0.7189323628868076,0.7189323628868076,0.7189323628868076,1.0,0.13450908660888672
6534,reinvent,RFC,52,6,33.72621250152588,CNC(=O)C1C(O)CN1CCNCc1c[nH]c2ccccc12,true,1,true,0,0.2285337393375704,0.2285337393375704,0.2285337393375704,1.0,0.13450908660888672
6535,reinvent,RFC,52,7,33.72621250152588,CCOc1nc2c(F)cccc2c(O)c1OCC1CCNCC1,true,1,true,0,0.1932183726703825,0.1932183726703825,0.1932183726703825,1.0,0.13450908660888672
6536,reinvent,RFC,52,8,33.72621250152588,COc1cc(CCC2CNCCO2)cc(Cc2c(O)cc(C)c(OC)c2C)c1OC,true,1,true,0,0.31387688477809966,0.31387688477809966,0.31387688477809966,1.0,0.13450908660888672
6537,reinvent,RFC,52,9,33.72621250152588,CC1=C(C(=O)OCc2ccccc2)C(c2cccc(C(=O)O)c2)C(C(=O)OC(C)C)=C(C)N1,true,1,true,0,0.2432135009534315,0.2432135009534315,0.2432135009534315,1.0,0.13450908660888672
