,model,task,step,batch_idx,absolute_time,smiles,valid,valid_score,unique,occurrences,RFC_pred_proba,raw_RFC_pred_proba,single,filter,score_time
52787,reinvent,RFC,415,0,263.9786710739136,CC1CC(=O)C(=CNCC(=O)N2CCN(c3nsc4ccccc34)CC2)C1,true,1,true,0,0.7532011470532186,0.7532011470532186,0.7532011470532186,1.0,0.0874471664428711
52788,reinvent,RFC,415,1,263.9786710739136,CCCCC1C(C(N)=O)CCN1CCCN1CCN(c2nsc3ccccc23)CC1,true,1,true,0,0.8796546838671734,0.8796546838671734,0.8796546838671734,1.0,0.0874471664428711
52789,reinvent,RFC,415,2,263.9786710739136,O=C(NCCN1CCN(c2nc3ccccc3[nH]2)CC1)c1csc2ccccc12,true,1,true,0,0.34843933877869643,0.34843933877869643,0.34843933877869643,1.0,0.0874471664428711
52790,reinvent,RFC,415,3,263.9786710739136,O=C1CCC(C(=O)NCCN2CCN(c3nsc4ccccc34)CC2)C1,true,1,true,0,0.8847050711533704,0.8847050711533704,0.8847050711533704,1.0,0.0874471664428711
52791,reinvent,RFC,415,4,263.9786710739136,N#Cc1ccccc1CC(=O)N1CCN(CCN2CCN(c3nsc4ccccc34)CC2)CC1,true,1,true,0,0.8927080019736225,0.8927080019736225,0.8927080019736225,1.0,0.0874471664428711
52792,reinvent,RFC,415,5,263.9786710739136,c1ccc2c(N3CCN(CCCCC4CCCCC4)CC3)nsc2c1,true,1,false,21,0.950749229582382,0.950749229582382,0.950749229582382,1.0,0.0874471664428711
52793,reinvent,RFC,415,6,263.9786710739136,c1ccc2c(N3CCN(CCCC4CCCC4)CC3)nsc2c1,true,1,false,17,0.946860340693493,0.946860340693493,0.946860340693493,1.0,0.0874471664428711
52794,reinvent,RFC,415,7,263.9786710739136,Clc1cccc(Cl)c1CCCN1CCN(c2nsc3ccccc23)CC1,true,1,false,1,0.9301931877789252,0.9301931877789252,0.9301931877789252,1.0,0.0874471664428711
52795,reinvent,RFC,415,8,263.9786710739136,c1ccc2c(CCCN3CCN(c4nsc5ccccc45)CC3)nsc2c1,true,1,false,2,0.9579639798636709,0.9579639798636709,0.9579639798636709,1.0,0.0874471664428711
52796,reinvent,RFC,415,9,263.9786710739136,c1ccc2sc(CCCN3CCN(c4nsc5ccccc45)CC3)cc2c1,true,1,false,3,0.9447246003674052,0.9447246003674052,0.9447246003674052,1.0,0.0874471664428711
